"id","name","guard_name","created_at","updated_at"
"1","view_attendance","web","2026-01-19 11:14:05","2026-01-19 11:14:05"
"2","view_any_attendance","web","2026-01-19 11:14:06","2026-01-19 11:14:06"
"3","create_attendance","web","2026-01-19 11:14:06","2026-01-19 11:14:06"
"4","update_attendance","web","2026-01-19 11:14:06","2026-01-19 11:14:06"
"5","restore_attendance","web","2026-01-19 11:14:06","2026-01-19 11:14:06"
"6","restore_any_attendance","web","2026-01-19 11:14:06","2026-01-19 11:14:06"
"7","delete_attendance","web","2026-01-19 11:14:06","2026-01-19 11:14:06"
"8","delete_any_attendance","web","2026-01-19 11:14:06","2026-01-19 11:14:06"
"9","view_attendance::rule","web","2026-01-19 11:14:06","2026-01-19 11:14:06"
"10","view_any_attendance::rule","web","2026-01-19 11:14:06","2026-01-19 11:14:06"
"11","create_attendance::rule","web","2026-01-19 11:14:06","2026-01-19 11:14:06"
"12","update_attendance::rule","web","2026-01-19 11:14:06","2026-01-19 11:14:06"
"13","restore_attendance::rule","web","2026-01-19 11:14:07","2026-01-19 11:14:07"
"14","restore_any_attendance::rule","web","2026-01-19 11:14:07","2026-01-19 11:14:07"
"15","delete_attendance::rule","web","2026-01-19 11:14:07","2026-01-19 11:14:07"
"16","delete_any_attendance::rule","web","2026-01-19 11:14:07","2026-01-19 11:14:07"
"17","view_certificate::template","web","2026-01-19 11:14:07","2026-01-19 11:14:07"
"18","view_any_certificate::template","web","2026-01-19 11:14:07","2026-01-19 11:14:07"
"19","create_certificate::template","web","2026-01-19 11:14:07","2026-01-19 11:14:07"
"20","update_certificate::template","web","2026-01-19 11:14:07","2026-01-19 11:14:07"
"21","restore_certificate::template","web","2026-01-19 11:14:07","2026-01-19 11:14:07"
"22","restore_any_certificate::template","web","2026-01-19 11:14:07","2026-01-19 11:14:07"
"23","delete_certificate::template","web","2026-01-19 11:14:07","2026-01-19 11:14:07"
"24","delete_any_certificate::template","web","2026-01-19 11:14:08","2026-01-19 11:14:08"
"25","view_laporan::perjalanan::dinas","web","2026-01-19 11:14:08","2026-01-19 11:14:08"
"26","view_any_laporan::perjalanan::dinas","web","2026-01-19 11:14:08","2026-01-19 11:14:08"
"27","create_laporan::perjalanan::dinas","web","2026-01-19 11:14:08","2026-01-19 11:14:08"
"28","update_laporan::perjalanan::dinas","web","2026-01-19 11:14:08","2026-01-19 11:14:08"
"29","restore_laporan::perjalanan::dinas","web","2026-01-19 11:14:08","2026-01-19 11:14:08"
"30","restore_any_laporan::perjalanan::dinas","web","2026-01-19 11:14:08","2026-01-19 11:14:08"
"31","delete_laporan::perjalanan::dinas","web","2026-01-19 11:14:08","2026-01-19 11:14:08"
"32","delete_any_laporan::perjalanan::dinas","web","2026-01-19 11:14:08","2026-01-19 11:14:08"
"33","view_leave","web","2026-01-19 11:14:08","2026-01-19 11:14:08"
"34","view_any_leave","web","2026-01-19 11:14:08","2026-01-19 11:14:08"
"35","create_leave","web","2026-01-19 11:14:08","2026-01-19 11:14:08"
"36","update_leave","web","2026-01-19 11:14:09","2026-01-19 11:14:09"
"37","restore_leave","web","2026-01-19 11:14:09","2026-01-19 11:14:09"
"38","restore_any_leave","web","2026-01-19 11:14:09","2026-01-19 11:14:09"
"39","delete_leave","web","2026-01-19 11:14:09","2026-01-19 11:14:09"
"40","delete_any_leave","web","2026-01-19 11:14:09","2026-01-19 11:14:09"
"41","view_office","web","2026-01-19 11:14:09","2026-01-19 11:14:09"
