"permission_id","role_id"
"1","1"
"2","1"
"3","1"
"4","1"
"5","1"
"6","1"
"7","1"
"8","1"
"9","1"
"10","1"
"11","1"
"12","1"
"13","1"
"14","1"
"15","1"
"16","1"
"17","1"
"18","1"
"19","1"
"20","1"
"21","1"
"22","1"
"23","1"
"24","1"
"25","1"
"26","1"
"27","1"
"28","1"
"29","1"
"30","1"
"31","1"
"32","1"
"33","1"
"34","1"
"35","1"
"36","1"
"37","1"
"38","1"
"39","1"
"40","1"
"41","1"
"42","1"
"43","1"
"44","1"
"45","1"
"46","1"
"47","1"
"48","1"
"49","1"
"50","1"
"51","1"
"52","1"
"53","1"
"54","1"
"55","1"
"56","1"
"57","1"
"58","1"
"59","1"
"60","1"
"61","1"
"62","1"
"63","1"
"64","1"
"65","1"
"66","1"
"67","1"
"68","1"
"69","1"
"70","1"
"71","1"
"72","1"
"73","1"
"74","1"
"75","1"
"76","1"
"77","1"
"78","1"
"79","1"
"80","1"
"81","1"
"82","1"
"83","1"
"84","1"
"85","1"
"86","1"
"87","1"
"88","1"
"89","1"
"90","1"
"91","1"
"92","1"
"93","1"
"94","1"
"95","1"
"96","1"
"97","1"
"98","1"
"99","1"
"100","1"
"101","1"
"102","1"
"103","1"
"104","1"
"105","1"
"106","1"
"107","1"
"108","1"
"109","1"
"110","1"
"111","1"
"112","1"
"113","1"
"114","1"
"115","1"
"116","1"
"117","1"
"118","1"
"119","1"
"120","1"
"25","2"
"26","2"
"27","2"
"28","2"
"29","2"
"30","2"
"31","2"
"32","2"
"71","2"
"72","2"
"112","2"
"119","2"
"25","3"
"26","3"
"27","3"
"28","3"
"29","3"
"30","3"
"31","3"
"32","3"
"71","3"
"72","3"
"112","3"
"113","3"
"119","3"
"71","5"
"72","5"
"73","5"
"74","5"
"75","5"
"76","5"
"77","5"
"78","5"
"79","5"
"80","5"
"81","5"
"82","5"
"83","5"
"84","5"
"85","5"
"86","5"
"87","5"
"88","5"
"71","6"
"72","6"
"73","6"
"74","6"
"75","6"
"76","6"
"77","6"
"78","6"
"79","6"
"80","6"
"81","6"
"82","6"
"83","6"
"84","6"
"85","6"
"86","6"
"87","6"
"88","6"
"1","8"
"2","8"
"33","8"
"34","8"
"35","8"
"36","8"
"37","8"
"38","8"
"39","8"
"40","8"
